Public Food Key,Classification,Name,Energy_kCal,Total_fibre_g,Has_High_Fibre,Category,Sub_Category,High_Cholesterol,High_Sugar,CVD
F004220,12103,"Gluten, from wheat (vital wheat gluten)",360.1816443594646,0.6,False,Flour or Cereal Grains,Flour or Cereal Grains,0,0,0
F008831,24102,"Starch, potato",318.35564053537286,5.9,True,Potato Fries,Potato Fries,0,0,0
F000996,29101,"Beer, high alcohol (5% v/v & above)",42.06500956022944,0,False,Alcohol,Alcohol,0,1,1
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",36.5678776290631,0,False,Alcohol,Alcohol,0,1,1
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",30.353728489483746,0,False,Alcohol,Alcohol,0,1,1
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",30.83173996175908,0,False,Alcohol,Alcohol,0,1,1
F001004,29102,"Beer, light (alcohol 1- less than 3% v/v)",24.1395793499044,0,False,Alcohol,Alcohol,0,1,1
F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",204.82791586998087,0,False,Alcohol,Alcohol,0,1,1
F000050,29301,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",69.31166347992351,0,False,Alcohol,Alcohol,0,1,1
F009572,29201,"Wine, red, cabernet sauvignon",78.63288718929255,0,False,Alcohol,Alcohol,0,1,1
F009574,29201,"Wine, red, merlot",77.91586998087953,0,False,Alcohol,Alcohol,0,1,1
F009575,29201,"Wine, red, pinot noir",76.0038240917782,0,False,Alcohol,Alcohol,0,1,1
F009577,29201,"Wine, red, shiraz",80.78393881453155,0,False,Alcohol,Alcohol,0,1,1
F009571,29201,"Wine, red",79.34990439770554,0,False,Alcohol,Alcohol,0,1,1
F009573,29201,"Wine, red, cooked",29.15869980879541,0,False,Alcohol,Alcohol,0,1,1
F009578,29201,"Wine, red, sparkling",80.78393881453155,0,False,Alcohol,Alcohol,0,1,1
F009579,29201,"Wine, rose",69.07265774378585,0,False,Alcohol,Alcohol,0,1,1
F009583,29202,"Wine, white, sauvignon blanc",70.02868068833652,0,False,Alcohol,Alcohol,0,1,1
F009584,29202,"Wine, white, semillon",63.81453154875717,0,False,Alcohol,Alcohol,0,1,1
F009582,29202,"Wine, white, chardonnay",73.37476099426387,0,False,Alcohol,Alcohol,0,1,1
F009586,29202,"Wine, white, riesling",69.78967495219885,0,False,Alcohol,Alcohol,0,1,1
F009581,29202,"Wine, white",71.94072657743786,0,False,Alcohol,Alcohol,0,1,1
F009580,29202,"Wine, white, cooked",25.5736137667304,0,False,Alcohol,Alcohol,0,1,1
F009590,29202,"Wine, white, sparkling",73.1357552581262,0,False,Alcohol,Alcohol,0,1,1
